pos_product,ingredient_item_code,ingredient_name,grams_per_cup,store_yield_grams,sku_conversion,uom
CHOCO BROWNIE,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
CHOCO BROWNIE,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
CHOCO BROWNIE,RM020,FROZEN BROWNIES,23.0,0,0.088,
COOKIE CRUMBLE,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
COOKIE CRUMBLE,FG019,CHOCOLATE FLAVORED SAUCE,33.0,0,0.014,
COOKIE CRUMBLE,FG020,FROZEN ICE MILK,248.0,0,0.099,
COOKIE CRUMBLE,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
COOKIE CRUMBLE,PM002,DOME LID 90MM,1.0,0,1.0,
COOKIE CRUMBLE,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
COOKIE CRUMBLE,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
COOKIE CRUMBLE,RM002,CRUSHED OREO,20.0,0,0.044,
COOKIE CRUMBLE,RM002,CRUSHED OREO,30.0,0,0.044,
COOKIE CRUMBLE,RM003,WHOLE OREO,1.0,0,0.037,
Choco Brownie-1,RM020,FROZEN BROWNIES,23.0,0,0.088,
Crushed Oreo,RM002,CRUSHED OREO,30.0,0,0.066,
HALUKAY UBE,FG001,LECHE FLAN,50.0,0,1.0,
HALUKAY UBE,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
HALUKAY UBE,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
HALUKAY UBE,FG002,BANANA CINNAMON,13.0,0,0.013,
HALUKAY UBE,FG003,RICE CRISPIES,2.0,0,0.002,
HALUKAY UBE,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
HALUKAY UBE,FG009,SAGO,20.0,0,0.019,
HALUKAY UBE,FG013,LANGKA,13.0,0,0.013,
HALUKAY UBE,FG016,UBE FLAVORED SAUCE,33.0,0,0.013,
HALUKAY UBE,FG020,FROZEN ICE MILK,310.0,0,0.124,
HALUKAY UBE,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
HALUKAY UBE,PM002,DOME LID 90MM,1.0,0,1.0,
HALUKAY UBE,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
HALUKAY UBE,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
HALUKAY UBE,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
HALUKAY UBE,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
HALUKAY UBE,RM007,NATA DE COCO MILIN,23.0,0,0.012,
HALUKAY UBE,RM017,MACAPUNO,13.0,0,0.013,
HALUKAY UBE,RM018,UBE HALAYA,13.0,0,0.014,
HANTIEN,M003,HANTIEN,16.0,0,0.016,
Langka,FG013,LANGKA,13.0,0,0.013,
Leche Flan,FG001,LECHE FLAN,50.0,0,1.0,
Leche Flan,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
Leche Flan,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
MANGO CLASSIC,FG001,LECHE FLAN,50.0,0,1.0,
MANGO CLASSIC,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
MANGO CLASSIC,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
MANGO CLASSIC,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
MANGO CLASSIC,FG010,TAPIOCA,35.0,0,0.028,
MANGO CLASSIC,FG020,FROZEN ICE MILK,310.0,0,0.124,
MANGO CLASSIC,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
MANGO CLASSIC,PM002,DOME LID 90MM,1.0,0,1.0,
MANGO CLASSIC,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
MANGO CLASSIC,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
MANGO CLASSIC,RM010,FRESH RIPE MANGO,20.0,0,0.033,
MANGO CLASSIC,RM014,MANGO SYRUP,33.0,0,0.033,
MANGO GRAHAM CARAMEL,FG001,LECHE FLAN,50.0,0,1.0,
MANGO GRAHAM CARAMEL,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
MANGO GRAHAM CARAMEL,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
MANGO GRAHAM CARAMEL,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
MANGO GRAHAM CARAMEL,FG020,FROZEN ICE MILK,310.0,0,0.124,
MANGO GRAHAM CARAMEL,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
MANGO GRAHAM CARAMEL,PM002,DOME LID 90MM,1.0,0,1.0,
MANGO GRAHAM CARAMEL,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
MANGO GRAHAM CARAMEL,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
MANGO GRAHAM CARAMEL,RM001,CRUSHED GRAHAM,30.0,0,0.03,
MANGO GRAHAM CARAMEL,RM010,FRESH RIPE MANGO,35.0,0,0.058,
MANGO GRAHAM CARAMEL,RM013,CARAMEL SYRUP,33.0,0,0.033,
MATCHARAP,FG001,LECHE FLAN,50.0,0,1.0,
MATCHARAP,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
MATCHARAP,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
MATCHARAP,FG002,BANANA CINNAMON,13.0,0,0.013,
MATCHARAP,FG003,RICE CRISPIES,2.0,0,0.002,
MATCHARAP,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
MATCHARAP,FG009,SAGO,20.0,0,0.019,
MATCHARAP,FG013,LANGKA,13.0,0,0.013,
MATCHARAP,FG017,MATCHA FLAVORED SAUCE,30.0,0,0.012,
MATCHARAP,FG020,FROZEN ICE MILK,310.0,0,0.124,
MATCHARAP,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
MATCHARAP,PM002,DOME LID 90MM,1.0,0,1.0,
MATCHARAP,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
MATCHARAP,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
MATCHARAP,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
MATCHARAP,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
MATCHARAP,RM007,NATA DE COCO MILIN,23.0,0,0.012,
MATCHARAP,RM017,MACAPUNO,13.0,0,0.013,
MATCHARAP,RM018,UBE HALAYA,13.0,0,0.014,
MELON,FG001,LECHE FLAN,50.0,0,1.0,
MELON,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
MELON,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
MELON,FG002,BANANA CINNAMON,13.0,0,0.013,
MELON,FG003,RICE CRISPIES,2.0,0,0.002,
MELON,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
MELON,FG009,SAGO,20.0,0,0.019,
MELON,FG013,LANGKA,13.0,0,0.013,
MELON,FG018,MELON FLAVORED SAUCE,33.0,0,0.013,
MELON,FG020,FROZEN ICE MILK,310.0,0,0.124,
MELON,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
MELON,PM002,DOME LID 90MM,1.0,0,1.0,
MELON,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
MELON,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
MELON,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
