SOURCE,PAYEE,INVOICE,GROSS,OUTSTANDING,AGING_BUCKET,STATUS,DENISE_TAB
Denise PP,1 to 1 Marketing,1772835,74260.81,74260.81,,FOR ONLINE PAYMENT,Suppliers w/o FD & Middleby
Denise PP,1 to 1 Marketing,1761250,311142.59,311142.59,,NO RFP YET,Suppliers w/o FD & Middleby
Denise PP,1 to 1 Marketing,1772832,74260.87,74260.87,,NO RFP YET,Suppliers w/o FD & Middleby
Denise PP,1 to 1 Marketing,1786640,213172.06,213172.06,,FOR ONLINE PAYMENT,Suppliers w/o FD & Middleby
Denise PP,1 to 1 Marketing,1787968,238542.2,238542.2,,FOR ONLINE PAYMENT,Suppliers w/o FD & Middleby
