fg_name,fg_name_norm,component_item_code,component_item_name_bom,qty_per_fg
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,RM005,STRAWBERRY COMSTOCK,0.034
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,PM001,16OZ CUP WITH LOGO,1.0
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,PM002,DOME LID 90MM,1.0
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,PM003,LONG SPOON GREEN W/ POUCH,1.0
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,PM007,PLASTIC 8x11 CALYPSO,1.0
SPECIAL,SPECIAL,FG001,LECHE FLAN,1.0
SPECIAL,SPECIAL,FG001-A,LECHE FLAN x 12,1.0
SPECIAL,SPECIAL,FG001-B,LECHE FLAN x 16,1.0
SPECIAL,SPECIAL,FG004,BUKO PANDAN JELLY,0.035
SPECIAL,SPECIAL,FG009,SAGO,0.019
SPECIAL,SPECIAL,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
SPECIAL,SPECIAL,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
SPECIAL,SPECIAL,RM007,NATA DE COCO MILIN,0.012
SPECIAL,SPECIAL,FG020,FROZEN ICE MILK,0.124
SPECIAL,SPECIAL,RM018,UBE HALAYA,0.025
SPECIAL,SPECIAL,FG002,BANANA CINNAMON,0.031
SPECIAL,SPECIAL,FG003,RICE CRISPIES,0.002
SPECIAL,SPECIAL,PM001,16OZ CUP WITH LOGO,1.0
SPECIAL,SPECIAL,PM002,DOME LID 90MM,1.0
SPECIAL,SPECIAL,PM003,LONG SPOON GREEN W/ POUCH,1.0
SPECIAL,SPECIAL,PM007,PLASTIC 8x11 CALYPSO,1.0
COOKIE CRUMBLE,COOKIE CRUMBLE,FG005,VANILLA WHITE JELLY,0.04
COOKIE CRUMBLE,COOKIE CRUMBLE,FG019,CHOCOLATE FLAVORED SAUCE,0.014
COOKIE CRUMBLE,COOKIE CRUMBLE,FG020,FROZEN ICE MILK,0.099
COOKIE CRUMBLE,COOKIE CRUMBLE,RM002,CRUSHED OREO,0.044
COOKIE CRUMBLE,COOKIE CRUMBLE,RM002,CRUSHED OREO,0.044
COOKIE CRUMBLE,COOKIE CRUMBLE,RM003,WHOLE OREO,0.037
COOKIE CRUMBLE,COOKIE CRUMBLE,PM001,16OZ CUP WITH LOGO,1.0
COOKIE CRUMBLE,COOKIE CRUMBLE,PM002,DOME LID 90MM,1.0
COOKIE CRUMBLE,COOKIE CRUMBLE,PM003,LONG SPOON GREEN W/ POUCH,1.0
COOKIE CRUMBLE,COOKIE CRUMBLE,PM007,PLASTIC 8x11 CALYPSO,1.0
BUKO FRUIT,BUKO FRUIT,FG001,LECHE FLAN,1.0
BUKO FRUIT,BUKO FRUIT,FG001-A,LECHE FLAN x 12,1.0
BUKO FRUIT,BUKO FRUIT,FG001-B,LECHE FLAN x 16,1.0
BUKO FRUIT,BUKO FRUIT,FG020,FROZEN ICE MILK,0.124
BUKO FRUIT,BUKO FRUIT,FG003,RICE CRISPIES,0.002
BUKO FRUIT,BUKO FRUIT,RM012,JOLLY FRUIT COCKTAIL,0.065
BUKO FRUIT,BUKO FRUIT,FG006,COCONUT JELLY,0.046
BUKO FRUIT,BUKO FRUIT,RM011,EDEN CHEESE,12.0
BUKO FRUIT,BUKO FRUIT,FG007,COCONUT SYRUP,0.034
BUKO FRUIT,BUKO FRUIT,PM001,16OZ CUP WITH LOGO,1.0
BUKO FRUIT,BUKO FRUIT,PM002,DOME LID 90MM,1.0
BUKO FRUIT,BUKO FRUIT,PM003,LONG SPOON GREEN W/ POUCH,1.0
BUKO FRUIT,BUKO FRUIT,PM007,PLASTIC 8x11 CALYPSO,1.0
CHOCO BROWNIE,CHOCO BROWNIE,FG001,LECHE FLAN,1.0
CHOCO BROWNIE,CHOCO BROWNIE,FG001-A,LECHE FLAN x 12,1.0
CHOCO BROWNIE,CHOCO BROWNIE,FG001-B,LECHE FLAN x 16,1.0
CHOCO BROWNIE,CHOCO BROWNIE,FG020,FROZEN ICE MILK,0.124
CHOCO BROWNIE,CHOCO BROWNIE,FG005,VANILLA WHITE JELLY,0.034
CHOCO BROWNIE,CHOCO BROWNIE,FG019,CHOCOLATE FLAVORED SAUCE,0.015
CHOCO BROWNIE,CHOCO BROWNIE,RM020,FROZEN BROWNIES,0.088
CHOCO BROWNIE,CHOCO BROWNIE,M003,HANTIEN,0.016
CHOCO BROWNIE,CHOCO BROWNIE,M006,MINI MARSHMALLOW,0.018
CHOCO BROWNIE,CHOCO BROWNIE,PM001,16OZ CUP WITH LOGO,1.0
CHOCO BROWNIE,CHOCO BROWNIE,PM002,DOME LID 90MM,1.0
CHOCO BROWNIE,CHOCO BROWNIE,PM003,LONG SPOON GREEN W/ POUCH,1.0
CHOCO BROWNIE,CHOCO BROWNIE,PM007,PLASTIC 8x11 CALYPSO,1.0
MELON,MELON,FG001,LECHE FLAN,1.0
MELON,MELON,FG001-A,LECHE FLAN x 12,1.0
MELON,MELON,FG001-B,LECHE FLAN x 16,1.0
MELON,MELON,FG004,BUKO PANDAN JELLY,0.035
MELON,MELON,FG009,SAGO,0.019
MELON,MELON,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
MELON,MELON,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
MELON,MELON,RM007,NATA DE COCO MILIN,0.012
MELON,MELON,FG020,FROZEN ICE MILK,0.124
MELON,MELON,RM018,UBE HALAYA,0.014
MELON,MELON,FG013,LANGKA,0.013
MELON,MELON,RM017,MACAPUNO,0.013
MELON,MELON,FG002,BANANA CINNAMON,0.013
MELON,MELON,FG003,RICE CRISPIES,0.002
MELON,MELON,FG018,MELON FLAVORED SAUCE,0.013
MELON,MELON,PM001,16OZ CUP WITH LOGO,1.0
MELON,MELON,PM002,DOME LID 90MM,1.0
MELON,MELON,PM003,LONG SPOON GREEN W/ POUCH,1.0
MELON,MELON,PM007,PLASTIC 8x11 CALYPSO,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG001,LECHE FLAN,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG001-A,LECHE FLAN x 12,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG001-B,LECHE FLAN x 16,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG020,FROZEN ICE MILK,0.124
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG005,VANILLA WHITE JELLY,0.04
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,FG014,PISTACHIO / CASHEW MIX,0.003
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,RM004-1,BLUEBERRY COMSTOCK LAFRUTA,0.034
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,RM015,BLUEBERRY SYRUP,0.033
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,PM001,16OZ CUP WITH LOGO,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,PM002,DOME LID 90MM,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,PM003,LONG SPOON GREEN W/ POUCH,1.0
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,PM007,PLASTIC 8x11 CALYPSO,1.0
MATCHARAP,MATCHARAP,FG001,LECHE FLAN,1.0
MATCHARAP,MATCHARAP,FG001-A,LECHE FLAN x 12,1.0
MATCHARAP,MATCHARAP,FG001-B,LECHE FLAN x 16,1.0
MATCHARAP,MATCHARAP,FG004,BUKO PANDAN JELLY,0.035
MATCHARAP,MATCHARAP,FG009,SAGO,0.019
MATCHARAP,MATCHARAP,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
MATCHARAP,MATCHARAP,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
MATCHARAP,MATCHARAP,RM007,NATA DE COCO MILIN,0.012
MATCHARAP,MATCHARAP,FG020,FROZEN ICE MILK,0.124
MATCHARAP,MATCHARAP,RM018,UBE HALAYA,0.014
