store_name,buyer_entity_name,buyer_entity_status,buyer_entity_source,billing_policy,billing_post_policy,store_type,store_type_status,store_allocation_required,markup_rule_mode,markup_rule_source,active_fulfillment_status,warehouse_docname,evidence_primary,evidence_secondary,notes
SM Manila,Bebang Enterprise Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_BEI_INTERCOMPANY_WITH_STORE_ALLOCATION,AUTO_POST_ALLOWED,JV,confirmed,1,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM  Manila - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Marikina,Bebang SM Marikina Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Marikina - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Marilao,Bebang Marilao Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Marilao - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Megamall,Bebang Enterprise Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_BEI_INTERCOMPANY_WITH_STORE_ALLOCATION,AUTO_POST_ALLOWED,JV,confirmed,1,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Megamall - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM North EDSA,Bebang North Edsa,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM North EDSA - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM San Jose Del Monte,Legacy77 Food Corp,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SJDM - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Sangandaan,Tungsten Capital Holdings OPC,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Sangandaan - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Southmall,Bebang Enterprise Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_BEI_INTERCOMPANY_WITH_STORE_ALLOCATION,AUTO_POST_ALLOWED,JV,confirmed,1,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Southmall - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Sta. Rosa,SM Sta. Rosa,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Sta. Rosa - BKI,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Tanza,Bebang Mega Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Tanza - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Taytay,Day Ones Food and Drink Establishments Corp.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Taytay - BKI,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
SM Valenzuela,Bebang SMV Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,SM Valenzuela - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Sta. Lucia East Grand Mall,Bebang SM Marikina Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Sta. Lucia East Grand Mall - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
The Grid - Rockwell,BEBANG THE GRID FOOD MARKET,provisional_entity_from_pos_master,STORE_MASTER_LIST.csv,BKI_TO_STORE_INTERCOMPANY__PROVISIONAL_ENTITY_HOLD,DRAFT_ONLY__BILLING_HOLD_PENDING_LEGAL_ENTITY,Full Franchise,provisional_from_pos_master,0,CONFIG_FROM_POS_STORE_TYPE__NO_POST,STORE_MASTER_LIST.csv,active_with_billing_hold,The Grid - Rockwell - Bebang Enterprise Inc.,STORE_MASTER_LIST.csv,STORE_MASTER_LIST.csv,Present in POS master only; not found in ENTITY_TIN_RDO extract
The Terminal Exchange,Bebang Starmall Alabang Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,STORE_MASTER_LIST.csv,active,The Terminal - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,STORE_MASTER_LIST.csv,
Tomas Morato (CTTM Square),B Cubed Ventures Corp.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,CTTM Tomas Morato - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Uptown Mall,DMD Holdings Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Up Town Mall BGC - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,TIN corrected by Butch 2026-02-27 (was: 634-954-873-00000 = duplicate of Irresistible Infusions)
Venice Grand Canal,Bebang Venice Grand Canal Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,STORE_MASTER_LIST.csv,active,Megaworld Venice Grand Canal - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,STORE_MASTER_LIST.csv,
Vista Mall Taguig,Tricern Food Corp.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,STORE_MASTER_LIST.csv,active,Vista Mall Taguig - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,STORE_MASTER_LIST.csv,
