inventory_code,inventory_items,inventory_description,inventory_uom,resolution_type,target_item_code,target_item_name,target_stock_uom,target_item_group,import_policy,notes
PM017,HRT TISSUE,(6ROLLS / BOX),ROLL,exact_live_item,PM017,HRT TISSUE,ROLL,,import,
PM018,TISSUE PRE CUT,(1000 SHEETS / PACKS 5000 PER BUNDLE),PACK,exact_live_item,PM018,TISSUE PRE CUT,PACK,,import,
PM019,CLING WRAP,ROLL,ROLL,exact_live_item,PM019,CLING WRAP,ROLL,,import,
PM020,Tikim Cup,(500PCS / BOX 25PLASTIC / BOX),PIECE,exact_live_item,PM020,Tikim Cup,PIECE,,import,
PM021,Tikim Dome Lid,(10PLASTIC / BOX 100PCS / PLASTIC),PIECE,exact_live_item,PM021,Tikim Dome Lid,PIECE,,import,
RM001,CRUSHED GRAHAM,(1KG / PACK 12PACK / BOX),PACK,exact_live_item,RM001,CRUSHED GRAHAM,PACK,,import,
RM0012-1,JOLLY FRUIT COCKTAIL LARGE,,CAN,alias_live_item,RM012,JOLLY FRUIT COCKTAIL,CAN,Raw Materials,import,Legacy sheet code normalized to canonical live item RM012.
RM002,CRUSHED OREO,(454G / PACK 24PACK / BOX),PACK,exact_live_item,RM002,CRUSHED OREO,PACK,,import,
RM003,WHOLE OREO,(256.5G / PACK 9PCS / PACK),PACK,exact_live_item,RM003,WHOLE OREO,PACK,,import,
RM004-1,BLUEBERRY COMSTOCK,(595G / CAN 12CANS / BOX),CAN,exact_live_item,RM004-1,BLUEBERRY COMSTOCK,CAN,,import,
RM004-2,BLUEBERRY COMSTOCK DLA,(595G / CAN 12CANS / BOX),CAN,alias_live_item,RM004-1,BLUEBERRY COMSTOCK LAFRUTA,CAN,Raw Materials,import,Legacy sheet code normalized to canonical live item RM004-1.
RM005,STRAWBERRY COMSTOCK,(12CANS / BOX 610G / CAN),CAN,exact_live_item,RM005,STRAWBERRY COMSTOCK,CAN,,import,
RM006-B,SUNBEST WHOLE KETTLE CORN,2125G / 6 CANS/.BOX,CAN,exact_live_item,RM006-B,SUNBEST WHOLE KETTLE CORN,CAN,,import,
RM006-C,GOLDEN VALLEY WHOLE CORN,2950G / 6 CANS/.BOX,CAN,exact_live_item,RM006-C,GOLDEN VALLEY WHOLE CORN,CAN,,import,
RM007,NATA DE COCO MILIN,(2.5KG / 6 PLASTIC JAR / BOX),JAR,exact_live_item,RM007,NATA DE COCO MILIN,JAR,,import,
RM008-A,GOLDEN VALLEY CREAM CORN,(425G / CAN 24 CANS / BOX),CAN,exact_live_item,RM008-A,GOLDEN VALLEY CREAM CORN,CAN,,import,
RM010,FRESH RIPE MANGO,KILOGRAMS / 15KG,KG,exact_live_item,RM010,FRESH RIPE MANGO,KG,,import,
RM010-A,Frozen Mango,,KG,create_item,RM010-A,Frozen Mango,KG,Raw Materials,import,Missing in live Frappe; create exact KG item to preserve sheet UOM and ordering BOM usage.
RM011,EDEN CHEESE,430G / BOX,Grams,exact_live_item,RM011,EDEN CHEESE,Grams,,import,
RM012,JOLLY FRUIT COCKTAIL,(850G / CAN 24CANS / BOX),CAN,exact_live_item,RM012,JOLLY FRUIT COCKTAIL,CAN,,import,
RM013,CARAMEL SYRUP,(1KG / PACK),PACK,exact_live_item,RM013,CARAMEL SYRUP,PACK,,import,
RM014,MANGO SYRUP,(1KG / PACK),PACK,exact_live_item,RM014,MANGO SYRUP,PACK,,import,
RM015,BLUEBERRY SYRUP,(1L / BOTTLE),BOTTLE,exact_live_item,RM015,BLUEBERRY SYRUP,BOTTLE,,import,
RM016,STRAWBERRY SYRUP,(1L / BOTTLE),BOTTLE,exact_live_item,RM016,STRAWBERRY SYRUP,BOTTLE,,import,
RM017,MACAPUNO,(KG),KG,exact_live_item,RM017,MACAPUNO,KG,,import,
RM018,UBE HALAYA,(KG) / 10 PACKS / BOX,KG,exact_live_item,RM018,UBE HALAYA,KG,,import,
RM020,FROZEN BROWNIES,260G / PACK,PACK,exact_live_item,RM020,FROZEN BROWNIES,PACK,,import,
