[2026-04-23T21:00:37] MONITOR START kill-same-fp=12 kill-pass-rate-below=0.25 kill-after-n=30 dry-run=False
[2026-04-23T21:47:34] STATUS completed=0 passes=22 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:48:06] STATUS completed=0 passes=22 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:48:37] STATUS completed=0 passes=23 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:49:09] STATUS completed=0 passes=23 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:49:40] STATUS completed=0 passes=23 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:50:12] STATUS completed=0 passes=24 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:50:44] STATUS completed=0 passes=24 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:51:15] STATUS completed=0 passes=25 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:51:47] STATUS completed=0 passes=25 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:52:18] STATUS completed=0 passes=26 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:52:50] STATUS completed=0 passes=26 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:53:22] STATUS completed=0 passes=26 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:53:53] STATUS completed=0 passes=27 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:54:25] STATUS completed=0 passes=27 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:54:57] STATUS completed=0 passes=28 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:55:28] STATUS completed=0 passes=28 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:56:00] STATUS completed=0 passes=28 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:56:31] STATUS completed=0 passes=28 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:57:03] STATUS completed=0 passes=28 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:57:35] STATUS completed=0 passes=29 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:58:06] STATUS completed=0 passes=29 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:58:38] STATUS completed=0 passes=29 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:59:10] STATUS completed=0 passes=30 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T21:59:42] STATUS completed=0 passes=30 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T22:00:13] STATUS completed=0 passes=31 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T22:00:45] STATUS completed=0 passes=31 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
[2026-04-23T22:01:17] STATUS completed=0 passes=32 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 2)]
