account_name,account_number,root_type,account_type,parent_account_stem,is_group,appears_in_count,appears_in_companies
Depreciation,,Expense,Depreciation,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Direct Expenses,,Expense,,Expenses,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Direct Income,,Income,,Income,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Dividends Paid,,Equity,Equity,Equity,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Duties and Taxes,,Liability,Tax,Current Liabilities,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Earnest Money,,Asset,,Securities and Deposits,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Electronic Equipments,,Asset,Fixed Asset,Fixed Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Employee Advances,,Asset,Payable,Loans and Advances (Assets),0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Entertainment Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Equity,,Equity,,,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Exchange Gain/Loss,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Expenses,,Expense,,,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Expenses Included In Asset Valuation,,Expense,Expenses Included In Asset Valuation,Stock Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Expenses Included In Valuation,,Expense,Expenses Included In Valuation,Stock Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Fixed Assets,,Asset,,Application of Funds (Assets),1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Freight and Forwarding Charges,,Expense,Chargeable,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Furnitures and Fixtures,,Asset,Fixed Asset,Fixed Assets,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Gain/Loss on Asset Disposal,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Impairment,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Income,,Income,,,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Indirect Expenses,,Expense,,Expenses,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Indirect Income,,Income,,Income,1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Investments,,Asset,,Application of Funds (Assets),1,6,AYVER;BMI2;GHO;SMK;BDV;BAG
Legal Expenses,,Expense,,Indirect Expenses,0,6,AYVER;BMI2;GHO;SMK;BDV;BAG
