company_name,abbr,store_ownership_type,parent_company,first_provision_done,field_name,current_value,target_doctype,ref_exists,action_recommended
SM MANILA - BEBANG ENTERPRISE INC.,SMM,JV,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM MANILA - BEBANG ENTERPRISE INC.,SMM,JV,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM MANILA - BEBANG ENTERPRISE INC.,SMM,JV,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,,Account,,no_action
SM MANILA - BEBANG ENTERPRISE INC.,SMM,JV,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,,Account,,no_action
SM MANILA - BEBANG ENTERPRISE INC.,SMM,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_inventory_account,Stock In Hand - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_payable_account,Creditors - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_receivable_account,Debtors - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_payroll_payable_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_employee_advance_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_expense_account,Cost of Goods Sold - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_income_account,Sales - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,round_off_account,Round Off - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,round_off_cost_center,Main - SMK,Cost Center,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,default_cash_account,Cash - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,exchange_gain_loss_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,accumulated_depreciation_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,depreciation_expense_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_asset_valuation,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,disposal_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,depreciation_cost_center,,Cost Center,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,Stock Adjustment - SMK,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,Stock Received But Not Billed - BEI,Account,True,no_action
SM MARIKINA - BEBANG SM MARIKINA INC.,SMK,JV,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,Expenses Included In Valuation - SMK,Account,True,no_action
SM MARILAO - BEBANG MARILAO INC.,SMMAR,JV,BEBANG ENTERPRISE INC.,1,default_inventory_account,,Account,,no_action
